eBirdID,CommonName,Count,Region,Location,County,Date,Time
S63589677,Cackling Goose,3,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66111081,Cackling Goose,14,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S65370798,Cackling Goose,5,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66112732,Cackling Goose,11,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S63589677,Canada Goose,24,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66719539,Canada Goose,7,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Canada Goose,6,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67143580,Canada Goose,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66111081,Canada Goose,12,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S66695801,Canada Goose,6,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S65364289,Canada Goose,41,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Canada Goose,30,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66024072,Canada Goose,3,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66112732,Canada Goose,40,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S63606162,Canada Goose,12,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S63525614,Canada Goose,285,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S63799861,Canada Goose,28,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66111768,Canada Goose,4,US-CO,Riverbend Ponds Natural Area,Larimer,3/22/20,17:24:00
S66128302,Canada Goose,10,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,Canada Goose,14,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Canada Goose,15,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Canada Goose,20,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S65394077,Canada Goose,15,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,Canada Goose,2,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,Canada Goose,8,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S66718618,Canada Goose,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S65698642,Cackling/Canada Goose,4,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S63606162,goose sp.,NA,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S63799861,goose sp.,50,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S63478265,goose sp.,5,US-CO,Timnath Reservoir--east bay,Larimer,1/17/20,09:36:00
S66695801,Wood Duck,2,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S67030975,Blue-winged Teal,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66676560,Blue-winged Teal,1,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S66128302,Cinnamon Teal,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66771868,Cinnamon Teal,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S63589677,Northern Shoveler,51,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66108842,Northern Shoveler,6,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S67030975,Northern Shoveler,7,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Northern Shoveler,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66112732,Northern Shoveler,33,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S66676560,Northern Shoveler,1,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S66169221,Northern Shoveler,5,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Northern Shoveler,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66718618,Northern Shoveler,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S63589677,Gadwall,48,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66108842,Gadwall,7,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S66719539,Gadwall,10,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Gadwall,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,Gadwall,6,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Gadwall,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66112732,Gadwall,1,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S66331971,Gadwall,7,US-CO,Reservoir Ridge Natural Area,Larimer,3/28/20,13:40:00
S66676560,Gadwall,4,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S66128302,Gadwall,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66771868,Gadwall,5,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Gadwall,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66718618,Gadwall,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S67143580,American Wigeon,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66111081,American Wigeon,9,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S65364289,American Wigeon,6,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,American Wigeon,2,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66112732,American Wigeon,8,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S63606162,American Wigeon,NA,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S63589677,Mallard,2,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66108842,Mallard,4,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S63726703,Mallard,4,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/24/20,08:12:00
S63805357,Mallard,4,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/26/20,10:56:00
S66719539,Mallard,5,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Mallard,8,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,Mallard,10,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Mallard,3,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66111081,Mallard,12,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S66695801,Mallard,5,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S65364289,Mallard,43,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Mallard,6,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S65698642,Mallard,2,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66024072,Mallard,2,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66112732,Mallard,36,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S63606162,Mallard,NA,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S66331971,Mallard,2,US-CO,Reservoir Ridge Natural Area,Larimer,3/28/20,13:40:00
S66676560,Mallard,6,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63799861,Mallard,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66111768,Mallard,2,US-CO,Riverbend Ponds Natural Area,Larimer,3/22/20,17:24:00
S66128302,Mallard,10,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,Mallard,14,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Mallard,16,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Mallard,8,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S65394077,Mallard,5,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,Mallard,4,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,Mallard,2,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S66718618,Mallard,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S66696622,Mallard,5,US-CO,"Williams Lake, Fort Collins US-CO (40.5533,-105.0564)",Larimer,4/5/20,17:40:00
S63589677,Northern Pintail,4,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S63606162,Northern Pintail,1,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S63589677,Green-winged Teal,9,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66128302,Green-winged Teal,54,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,Green-winged Teal,44,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Green-winged Teal,6,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Green-winged Teal,10,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S63589677,Canvasback,5,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S63606162,Canvasback,NA,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S63606162,Redhead,6,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S66947114,Ring-necked Duck,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66110158,Lesser Scaup,1,US-CO,Arapahoe Bend Natural Area,Larimer,3/22/20,16:30:00
S66676560,Lesser Scaup,20,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S66718618,Greater/Lesser Scaup,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S63589677,Bufflehead,30,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66108842,Bufflehead,1,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S66858963,Bufflehead,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S63606162,Bufflehead,1,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S66718618,Bufflehead,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S63589677,Common Goldeneye,14,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66111081,Common Goldeneye,2,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S63606162,Common Goldeneye,NA,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S66331971,Common Goldeneye,1,US-CO,Reservoir Ridge Natural Area,Larimer,3/28/20,13:40:00
S66676560,Common Goldeneye,1,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63525614,Common Goldeneye,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S66332159,Hooded Merganser,5,US-CO,"2952 Dean Dr, Fort Collins US-CO 40.60198, -105.13186",Larimer,3/28/20,15:24:00
S66771868,Hooded Merganser,3,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
